time,data,anomaly
1,100,
2,99,
3,98.01,
4,97.0299,
5,96.059601,
6,95.09900499,
7,94.14801494,
8,93.20653479,
9,92.27446944,
10,91.35172475,
11,90.4382075,
12,89.53382543,
13,88.63848717,
14,87.7521023,
15,86.87458128,
16,86.00583546,
17,85.14577711,
18,84.29431934,
19,83.45137615,
20,82.61686238,
21,81.79069376,
22,80.97278682,
23,80.16305895,
24,79.36142836,
25,78.56781408,
26,77.78213594,
27,77.00431458,
28,21,yes
29,75.47192872,
30,74.71720943,
31,73.97003734,
32,73.23033697,
33,72.4980336,
34,71.77305326,
35,71.05532273,
36,70.3447695,
37,69.6413218,
38,68.94490859,
39,68.2554595,
40,67.57290491,
41,66.89717586,
42,66.2282041,
43,65.56592206,
44,64.91026284,
45,64.26116021,
46,63.61854861,
47,62.98236312,
48,62.35253949,
49,61.72901409,
50,61.11172395,
51,60.50060671,
52,59.89560065,
53,59.29664464,
54,58.70367819,
55,58.11664141,
56,57.535475,
57,56.96012025,
58,56.39051905,
59,55.82661385,
60,55.26834772,
61,54.71566424,
62,54.1685076,
63,53.62682252,
64,53.0905543,
65,52.55964875,
66,52.03405227,
67,51.51371174,
68,50.99857462,
69,50.48858888,
70,49.98370299,
71,49.48386596,
72,48.9890273,
73,48.49913703,
74,48.01414566,
75,47.5340042,
76,47.05866416,
77,46.58807752,
78,46.12219674,
79,45.66097477,
80,45.20436503,
81,44.75232138,
82,44.30479816,
83,43.86175018,
84,43.42313268,
85,42.98890135,
86,42.55901234,
87,42.13342222,
88,41.71208799,
89,41.29496711,
90,40.88201744,
91,40.47319727,
92,40.0684653,
93,39.66778064,
94,39.27110284,
95,38.87839181,
96,38.48960789,
97,38.10471181,
98,37.72366469,
99,37.34642805,
100,36.97296376,
101,36.60323413,
102,36.23720179,
103,35.87482977,
104,35.51608147,
105,35.16092066,
106,34.80931145,
107,34.46121833,
108,34.11660615,
109,33.77544009,
110,33.43768569,
111,33.10330883,
112,32.77227574,
113,32.44455299,
114,32.12010746,
115,31.79890638,
116,31.48091732,
117,31.16610814,
